id,distance,duration
1007157,65,37
1011292,11,2
1011751,454,102
1016604,108,27
1017799,221,43
1018426,2152,319
1029621,6,1
1030352,24,4
1031899,157,29
1036860,33,7
1037251,2515,300
1043282,54,8
1056844,12,4
1059961,58,10
1076743,36,6
1077444,62,15
1080408,33,6
1083810,86,23
1084068,101,24
1087427,76,20
1087433,44,8
1094207,231,56
1098003,90,20
1103797,43,9
1104362,158,43
1104912,135,41
1106534,429,119
1109534,102,37
1110001,197,46
1121697,232,75
1123125,206,53
1125079,379,79
1125115,370,78
1130628,129,35
1135287,190,37
1138764,1342,264
1141986,58,22
1145582,321,75
1148625,409,122
1150867,274,43
1151109,109,15
1151864,377,76
1159284,37,17
1162640,310,105
1171918,593,183
1174537,45,10
1174758,51,40
1177310,6,1
1178260,419,115
1178281,164,44
1180103,23,5
1182465,643,143
1183521,70,10
1195173,106,37
1198464,535,111
1201159,11328,672
1202686,182,38
1203172,39,6
1203526,233,44
1203849,584,125
1206184,60,13
1206233,84,22
1206261,153,39
1209893,80,16
1212513,64,13
1212746,62,8
1212822,27,6
1221467,512,81
1223704,286,95
1226557,67,13
1229606,460,117
1241029,31,7
1245838,272,66
1247160,262,86
1247276,161,63
1249046,767,199
1251570,399,118
1261055,48,8
1261074,71,16
1261122,109,31
1267206,121,34
1276953,544,140
1277771,189,40
1281132,180,37
1281167,722,183
1286943,66,13
1290935,336,75
1291092,249,68
1292217,104,20
1299242,48,29
1301843,318,72
1304068,86,26
1307559,181,52
1309496,179,49
1317908,6,2
1323983,95,32
1324086,17,2
1328186,192,52
1329465,114,37
1333047,268,86
1336450,119,42
1336798,432,106
1344243,184,35
1348644,104,20
1351626,12,1
1351783,344,55
1352111,0,0
1355744,27,7
1356129,198,65
1364882,57,20
1388523,345,73
1391982,283,81
1392204,416,90
1397537,1016,214
1407244,77,20
1407881,302,85
1408281,164,47
1409218,145,40
1421671,697,188
1421774,121,34
1421937,420,92
1428465,160,32
1428553,70,14
1429022,77,25
1433011,221,62
1433917,58,10
1434314,815,250
1438286,555,129
1438864,223,68
1442027,265,55
1450899,105,29
1454220,115,23
1456153,1573,239
1460174,213,59
1460628,260,62
1466344,137,50
1467522,142,36
1467857,61,29
1471683,159,47
1472743,1136,157
1474209,705,178
1478708,51,14
1480015,212,51
1482273,418,110
1483853,94,22
1484792,415,158
1487849,1486,230
1498953,74,51
1499630,279,85
1506702,167,51
1510363,314,98
1511076,384,118
1520790,24,5
1520929,198,66
1520938,657,137
1524346,274,56
1525137,31,12
1525886,367,93
1530745,86,43
1534021,43,10
1535946,28,5
1537497,1301,325
1547477,39,11
1550913,465,134
1569288,24,5
1578597,48,12
1584021,174,132
1589228,301,67
1596884,25,6
1598872,60,13
1605483,24,5
1606292,206,46
